,name,rating,genre,year,released,score,votes,director,writer,star,budget,gross,company,runtime,released_month,adjusted_budget,adjusted_gross,weekday,actor,bday,nominations,awards_won,star_age
81,Neighbors,R,Comedy,1981,1981-12-18,5.6,7600.0,Other,Other,Other,8500000.0,29916207.0,Columbia Pictures,94.0,12,25338228.8228823,89179258.6445545,Friday,John Belushi,1949-01-24,0.0,0.0,12016
82,Wolfen,R,Horror,1981,1981-07-24,6.3,9400.0,Other,Other,Other,17000000.0,10626725.0,Other,115.0,7,50676457.6457646,31677928.1985699,Friday,Albert Finney,1936-05-09,5.0,0.0,16512
83,Prince of the City,R,Crime,1981,1981-08-26,7.5,7600.0,Other,Other,Other,8600000.0,8124257.0,Other,167.0,8,25636325.6325633,24218150.9272827,Wednesday,Treat Williams,1951-12-01,0.0,0.0,10861
84,Eyes of a Stranger,R,Horror,1981,1981-03-27,6.0,2400.0,Other,Other,Other,800000.0,1118634.0,Other,84.0,3,2384774.47744774,3334612.2660066,Friday,Lauren Tewes,1953-10-26,0.0,0.0,10014
85,Under the Rainbow,PG,Comedy,1981,1981-07-31,5.4,2600.0,Other,Other,Other,20000000.0,18826490.0,Other,98.0,7,59619361.9361936,56121166.0649065,Friday,Chevy Chase,1943-10-08,0.0,0.0,13811
86,Carbon Copy,PG,Comedy,1981,1981-09-25,5.6,2600.0,Other,Other,Other,6000000.0,9566593.0,Other,92.0,9,17885808.5808581,28517708.5281628,Friday,George Segal,1934-02-13,1.0,0.0,17391
87,Modern Problems,PG,Comedy,1981,1981-12-25,5.1,4900.0,Other,Other,Other,8000000.0,26154211.0,Twentieth Century Fox,93.0,12,23847744.7744774,77964868.5882288,Friday,Chevy Chase,1943-10-08,0.0,0.0,13958
88,Pennies from Heaven,R,Drama,1981,1982-01-01,6.5,5300.0,Other,Other,Steve Martin,22000000.0,9171289.0,Metro-Goldwyn-Mayer (MGM),108.0,1,65581298.129813,27339319.9156216,Friday,Steve Martin,1945-08-14,0.0,0.0,13289
89,The Legend of the Lone Ranger,PG,Action,1981,1981-05-22,5.1,2000.0,Other,Other,Other,18000000.0,12617845.0,Other,98.0,5,53657425.7425743,37613393.3954896,Friday,Klinton Spilsbury,1950-03-04,0.0,0.0,11402
90,Sphinx,PG,Adventure,1981,1981-02-11,5.2,1300.0,Other,Other,Other,14000000.0,2022771.0,Other,118.0,2,41733553.3553355,6029815.81815181,Wednesday,Lesley-Anne Down,1954-03-17,0.0,0.0,9828
91,Zoot Suit,R,Drama,1981,1982-01-01,6.8,1100.0,Other,Other,Other,2700000.0,3256082.0,Universal Pictures,103.0,1,8048613.86138614,9706276.56259626,Friday,Daniel Valdez,1949-04-27,0.0,0.0,11937
92,Buddy Buddy,R,Comedy,1981,1981-12-11,6.5,4500.0,Other,Other,Other,10000000.0,7258543.0,Other,96.0,12,29809680.9680968,21637485.1123212,Friday,Jack Lemmon,1925-02-08,8.0,2.0,20760
93,Bustin' Loose,R,Comedy,1981,1981-05-22,6.1,2900.0,Other,Other,Other,11000000.0,31261269.0,Universal Pictures,94.0,5,32790649.0649065,93188845.5547855,Friday,Richard Pryor,1940-12-01,0.0,0.0,14782
94,Heartbeeps,PG,Comedy,1981,1981-12-18,4.3,1300.0,Other,Other,Other,12000000.0,2154696.0,Universal Pictures,78.0,12,35771617.1617162,6423080.03432343,Friday,Andy Kaufman,1949-01-17,0.0,0.0,12023
95,Take This Job and Shove It,PG,Comedy,1981,1981-05-15,5.0,761.0,Other,Other,Other,3500000.0,17569027.0,Other,100.0,5,10433388.3388339,52372708.9789879,Friday,Robert Hays,1947-07-24,0.0,0.0,12349
96,Whose Life Is It Anyway?,R,Comedy,1981,1982-01-22,7.3,2700.0,Other,Other,Other,13000000.0,8206145.0,Metro-Goldwyn-Mayer (MGM),119.0,1,38752585.2585259,24462256.4427943,Friday,Richard Dreyfuss,1947-10-29,2.0,1.0,12504
97,All Night Long,R,Comedy,1981,1981-03-06,5.5,1700.0,Other,Other,Other,14000000.0,4454295.0,Universal Pictures,87.0,3,41733553.3553355,13278111.2887789,Friday,Gene Hackman,1930-01-30,5.0,2.0,18663
98,The Pursuit of D.B. Cooper,PG,Adventure,1981,1981-11-13,5.6,1100.0,Other,Other,Other,12000000.0,3702028.0,Other,100.0,11,35771617.1617162,11035627.3614962,Friday,Robert Duvall,1931-01-05,7.0,1.0,18575
99,Rollover,R,Drama,1981,1981-12-11,5.4,1100.0,Other,Other,Other,16000000.0,10851261.0,Other,116.0,12,47695489.5489549,32347262.8511551,Friday,Jane Fonda,1937-12-21,7.0,2.0,16061
100,Honky Tonk Freeway,PG,Action,1981,1981-08-21,5.2,928.0,Other,Other,Other,24000000.0,2004742.0,Other,107.0,8,71543234.3234324,5976071.94433443,Friday,David Rasche,1944-08-07,0.0,0.0,13528
101,King of the Mountain,PG,Action,1981,1981-05-01,5.5,384.0,Other,Other,Other,2000000.0,1791147.0,Other,90.0,5,5961936.19361936,5339352.06369637,Friday,Harry Hamlin,1951-10-30,0.0,0.0,10776
102,Fast Times at Ridgemont High,R,Comedy,1982,1982-08-13,7.2,98000.0,Other,Other,Other,4500000.0,27092880.0,Universal Pictures,90.0,8,12635906.7357513,76076245.5295337,Friday,Sean Penn,1960-08-17,5.0,2.0,8031
103,Blade Runner,R,Action,1982,1982-06-25,8.1,710000.0,Ridley Scott,Other,Harrison Ford,28000000.0,41676878.0,Other,117.0,6,78623419.6891192,117027809.654508,Friday,Harrison Ford,1942-07-13,1.0,0.0,14592
